date,price,currency,unit
2024-08-06,60.00,EUR,EUR/tonne
2024-08-07,59.50,EUR,EUR/tonne
2024-08-08,59.00,EUR,EUR/tonne
2024-08-09,58.50,EUR,EUR/tonne
2024-08-12,58.00,EUR,EUR/tonne
2024-08-13,57.50,EUR,EUR/tonne
2024-08-14,57.00,EUR,EUR/tonne
2024-08-15,56.50,EUR,EUR/tonne
2024-08-16,56.00,EUR,EUR/tonne
2024-08-19,55.50,EUR,EUR/tonne
2024-08-20,55.00,EUR,EUR/tonne
2024-08-21,54.50,EUR,EUR/tonne
2024-08-22,54.00,EUR,EUR/tonne
2024-08-23,53.50,EUR,EUR/tonne
2024-08-26,53.00,EUR,EUR/tonne
2024-08-27,52.50,EUR,EUR/tonne
2024-08-28,52.00,EUR,EUR/tonne
2024-08-29,51.50,EUR,EUR/tonne
2024-08-30,51.00,EUR,EUR/tonne
2024-09-02,51.50,EUR,EUR/tonne
2024-09-03,52.00,EUR,EUR/tonne
2024-09-04,52.50,EUR,EUR/tonne
2024-09-05,53.00,EUR,EUR/tonne
2024-09-06,53.50,EUR,EUR/tonne
2024-09-09,54.00,EUR,EUR/tonne
2024-09-10,54.50,EUR,EUR/tonne
2024-09-11,55.00,EUR,EUR/tonne
2024-09-12,55.50,EUR,EUR/tonne
2024-09-13,56.00,EUR,EUR/tonne
2024-09-16,56.50,EUR,EUR/tonne
2024-09-17,57.00,EUR,EUR/tonne
2024-09-18,57.50,EUR,EUR/tonne
2024-09-19,58.00,EUR,EUR/tonne
2024-09-20,58.50,EUR,EUR/tonne
2024-09-23,59.00,EUR,EUR/tonne
2024-09-24,59.50,EUR,EUR/tonne
2024-09-25,60.00,EUR,EUR/tonne
2024-09-26,60.50,EUR,EUR/tonne
2024-09-27,61.00,EUR,EUR/tonne
2024-09-30,61.50,EUR,EUR/tonne
2024-10-01,62.00,EUR,EUR/tonne
2024-10-02,62.50,EUR,EUR/tonne
2024-10-03,63.00,EUR,EUR/tonne
2024-10-04,63.50,EUR,EUR/tonne
2024-10-07,64.00,EUR,EUR/tonne
2024-10-08,64.50,EUR,EUR/tonne
2024-10-09,65.00,EUR,EUR/tonne
2024-10-10,65.50,EUR,EUR/tonne
2024-10-11,66.00,EUR,EUR/tonne
2024-10-14,66.50,EUR,EUR/tonne
2024-10-15,67.00,EUR,EUR/tonne
2024-10-16,67.50,EUR,EUR/tonne
2024-10-17,68.00,EUR,EUR/tonne
2024-10-18,68.50,EUR,EUR/tonne
2024-10-21,69.00,EUR,EUR/tonne
2024-10-22,69.50,EUR,EUR/tonne
2024-10-23,70.00,EUR,EUR/tonne
2024-10-24,70.50,EUR,EUR/tonne
2024-10-25,71.00,EUR,EUR/tonne
2024-10-28,71.50,EUR,EUR/tonne
2024-10-29,72.00,EUR,EUR/tonne
2024-10-30,72.50,EUR,EUR/tonne
2024-10-31,73.00,EUR,EUR/tonne
2024-11-01,73.50,EUR,EUR/tonne
2024-11-04,74.00,EUR,EUR/tonne
2024-11-05,74.50,EUR,EUR/tonne
2024-11-06,75.00,EUR,EUR/tonne
2024-11-07,75.50,EUR,EUR/tonne
2024-11-08,76.00,EUR,EUR/tonne
2024-11-11,76.50,EUR,EUR/tonne
2024-11-12,77.00,EUR,EUR/tonne
2024-11-13,77.50,EUR,EUR/tonne
2024-11-14,78.00,EUR,EUR/tonne
2024-11-15,78.50,EUR,EUR/tonne
2024-11-18,79.00,EUR,EUR/tonne
2024-11-19,79.50,EUR,EUR/tonne
2024-11-20,80.00,EUR,EUR/tonne
2024-11-21,80.50,EUR,EUR/tonne
2024-11-22,81.00,EUR,EUR/tonne
2024-11-25,81.50,EUR,EUR/tonne
2024-11-26,82.00,EUR,EUR/tonne
2024-11-27,82.50,EUR,EUR/tonne
2024-11-28,83.00,EUR,EUR/tonne
2024-11-29,83.50,EUR,EUR/tonne
2024-12-02,84.00,EUR,EUR/tonne
2024-12-03,84.50,EUR,EUR/tonne
2024-12-04,85.00,EUR,EUR/tonne
2024-12-05,85.50,EUR,EUR/tonne
2024-12-06,86.00,EUR,EUR/tonne
2024-12-09,86.50,EUR,EUR/tonne
2024-12-10,87.00,EUR,EUR/tonne
2024-12-11,87.50,EUR,EUR/tonne
2024-12-12,87.36,EUR,EUR/tonne
2024-12-13,87.20,EUR,EUR/tonne
2024-12-16,87.36,EUR,EUR/tonne
